Feature,Mann-Whitney U statistic,p-value
cbcl27,7740.5,0.8877796395103901
cbcl31,7745.0,0.9025791589535461
cbcl32,7765.0,0.9297570161716824
cbcl33,7817.5,0.9898920398154055
cbcl34,7886.0,0.8860880058369852
cbcl35,7738.5,0.891892953237005
cbcl37,7801.5,0.9832589743365681
cbcl38,7822.5,0.9828712135695575
cbcl39,7844.0,0.9456423716382774
cbcl40,7756.5,0.9021893847416824
cbcl41,7758.5,0.9224489995549229
cbcl42,7755.5,0.9176285777364501
cbcl43,7766.5,0.9331263510542548
cbcl45,7762.5,0.9295118193856845
cbcl46,7783.5,0.9579826775920454
cbcl48,7852.0,0.938866403911416
cbcl50,7736.5,0.890684328340194
cbcl51,7727.5,0.8304892056828631
cbcl52,7630.5,0.6693332948322884
cbcl54,7774.5,0.9429858126206536
cbcl55,7807.5,0.9955054678927278
cbcl111,7753.5,0.9140022230220461
cbcl112,7798.5,0.9827910501299114
cbcl56a,7740.5,0.8592028852952059
cbcl56b,7737.5,0.8632537949383985
cbcl56c,7790.0,0.9596505322523131
cbcl56d,7812.0,0.9980950882776273
cbcl56e,7719.0,0.8503732748400565
cbcl56f,7751.5,0.8966206110186801
cbcl56g,7777.5,0.9229322411519768
cbcl57,7771.5,0.934191258682938
cbcl61,7736.0,0.8889751639497551
cbcl62,7785.0,0.9627714538839878
cbcl63,7798.5,0.9829557264970396
cbcl64,7790.5,0.9707877899304993
cbcl65,7817.5,0.9882466602187234
cbcl66,7705.0,0.8417229240672095
cbcl67,7769.0,0.8813245335991491
cbcl68,7855.5,0.9287045872764039
cbcl69,7761.0,0.9259984516949961
cbcl70,7776.5,0.9132882407891447
cbcl71,7745.5,0.9040630268309353
cbcl72,7814.5,0.9775242476113457
cbcl74,7797.5,0.9798802064192061
cbcl75,7828.0,0.9746474537819122
cbcl80,7812.0,0.9985185613517591
cbcl81,7783.0,0.9359048346727668
cbcl82,7832.5,0.938937260053843
cbcl84,7864.5,0.9159937301144981
cbcl85,7757.5,0.9180229064110697
cbcl86,7751.0,0.9120286457482013
cbcl87,7737.0,0.8909298343889308
cbcl88,7699.5,0.8363779537632103
cbcl89,7659.0,0.7560172988289398
cbcl90,7804.5,0.9912691807523866
cbcl93,7830.5,0.971083112180496
cbcl94,7746.0,0.89846963849236
cbcl95,7718.5,0.8613376227542484
cbcl96,7756.5,0.9012465478613192
cbcl97,7836.5,0.9327596791438152
cbcl101,7826.5,0.9489984912456593
cbcl102,7723.5,0.8627174748224948
cbcl103,7744.5,0.8959434091295978
cbcl104,7796.0,0.978874174157767
cbcl105,7812.5,0.9864310950527304
cbcl106,7745.5,0.876314994540074
